update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
142,6,5376,256,1.930017236131972,1.952318965632227
143,6,5632,256,1.9103103722071797,1.9498942707713933
144,6,5888,6,1.7958349213666551,1.949835531238165
145,7,0,256,1.9163519477387325,1.9475676071661234
146,7,256,256,1.911801991544051,1.9453038189244833
147,7,512,256,1.9057967590203364,1.9429527207603956
148,7,768,256,1.9055851172474754,1.9406433581946787
149,7,1024,256,1.9072824269749824,1.9383612835565807
150,7,1280,256,1.9007137747700915,1.9359903839462107
151,7,1536,256,1.9074384417496253,1.9337151521571763
152,7,1792,256,1.915357748749312,1.931504221169461
153,7,2048,256,1.9078152212560664,1.9293188493808557
154,7,2304,256,1.9236783849077024,1.927113679384593
155,7,2560,256,1.9084778057474177,1.9249194469691193
156,7,2816,256,1.8786425744116428,1.9225790200571449
157,7,3072,256,1.897557332396629,1.9203056865387111
158,7,3328,256,1.8633228370864074,1.9179620582600871
159,7,3584,256,1.888704733028503,1.9157333814297255
160,7,3840,256,1.878257027193794,1.9134536725019822
161,7,4096,256,1.8756161813400853,1.9111871597478873
162,7,4352,256,1.8603272165340479,1.908870010479723
163,7,4608,256,1.8554929330609522,1.9065513403508207
164,7,4864,256,1.8829952354939152,1.904397819706145
165,7,5120,256,1.8848907485262452,1.9021741628579505
166,7,5376,256,1.8403520157608928,1.8999629470419392
167,7,5632,256,1.891484728689283,1.8978520681603426
168,7,5888,6,1.8603622295770972,1.8977994387633583
169,8,0,256,1.8631785197477575,1.8956381633528872
170,8,256,256,1.8482572467889096,1.8934051351959758
171,8,512,256,1.8585091214583092,1.89121961450944
172,8,768,256,1.83833462482789,1.8890600379437665
173,8,1024,256,1.8327232482252145,1.8868412650068576
174,8,1280,256,1.859235195330639,1.8847237639133763
175,8,1536,256,1.819209155871111,1.8825315039856187
176,8,1792,256,1.834318727440046,1.8803598445702476
177,8,2048,256,1.8436104000313618,1.8782471932559497
178,8,2304,256,1.8535497576449411,1.876120097003566
179,8,2560,256,1.834496530150578,1.8739312359036457
180,8,2816,256,1.8438644628167786,1.8717923838966737
181,8,3072,256,1.8133862490796042,1.8695607813126711
182,8,3328,256,1.8488781496524243,1.8675311823700531
183,8,3584,256,1.8532402222995152,1.8654735233049837
184,8,3840,256,1.8111942175377886,1.8632669700334084
185,8,4096,256,1.827233658978848,1.8611794920004208
186,8,4352,256,1.824577970791573,1.859052263187742
187,8,4608,256,1.8050182818843519,1.8569047444150042
188,8,4864,256,1.8424088642356553,1.8548425896848109
189,8,5120,256,1.8297609855618155,1.8527571580887467
190,8,5376,256,1.8601711684644842,1.850776561571858
191,8,5632,256,1.8148962312218022,1.8486333559814134
192,8,5888,6,1.7704231461803992,1.848580265914795
193,9,0,256,1.7961786564080449,1.8464632620183852
194,9,256,256,1.8094145102259698,1.8444403216606322
195,9,512,256,1.7887686170822263,1.8423360988065776
196,9,768,256,1.8308442939144762,1.8403847121047054
197,9,1024,256,1.7959350171328172,1.8382676525540225
198,9,1280,256,1.834815706817671,1.836276220866565
199,9,1536,256,1.8055423608656747,1.8342822103062222
200,9,1792,256,1.7503944299750018,1.8321551460689982
201,9,2048,256,1.7936409251211118,1.8301448061848393
202,9,2304,256,1.7757884129925794,1.8280783885535052
203,9,2560,256,1.768617591296088,1.8260401251807064
204,9,2816,256,1.7816438714956793,1.82398931318228
205,9,3072,256,1.7956383028002394,1.8220856150222722
206,9,3328,256,1.7623767685882128,1.8199847800711924
